2024-10-09 13:01:55,MIDDLE OF THE NIGHT,MONSTA X,166213
2024-10-09 13:03:33,daisy.,wave to earth,218500
2024-10-09 13:06:07,i need you more (feat. Suyo),Sweet The Kid,184251
2024-10-09 13:11:28,i need you more (feat. Suyo),Sweet The Kid,184251
2024-10-09 13:12:14,i need you more (feat. Suyo),Sweet The Kid,184251
2024-10-09 13:15:19,i need you more (feat. Suyo),Sweet The Kid,184251
2024-10-09 13:19:53,i need you more (feat. Suyo),Sweet The Kid,184251
2024-10-09 13:21:26,i need you more (feat. Suyo),Sweet The Kid,184251
2024-10-09 13:23:34,Tip Toe,HYBS,224725
2024-10-09 13:27:10,ANGOSTURA,keshi,171019
2024-10-09 13:30:00,blue salvia,PRYVT,197538
2024-10-09 13:33:20,the cutest pair,Regina Song,158400
2024-10-09 13:35:59,next door (feat. ASTN),Amelia Moore,208313
2024-10-09 13:45:39,Slowly,CLAUDIA,184054
2024-10-09 13:46:46,keep smiling,demxntia,132000
2024-10-09 13:48:59,take it slow,yedira,206048
2024-10-09 14:05:22,obsessed,thủy,185263
2024-10-09 14:05:47,keep smiling,demxntia,132000
2024-10-09 14:06:08,take it slow,yedira,206048
2024-10-09 14:06:23,obsessed,thủy,185263
2024-10-09 14:09:18,美,KIRE,144000
2024-10-09 14:09:54,ベテルギウス,Yuuri,230600
2024-10-09 14:25:03,trust me,sunkis,168936
2024-10-09 14:30:08,Out of the Blue,RINI,197580
2024-10-09 14:30:34,MIDDLE OF THE NIGHT,MONSTA X,166213
2024-10-09 14:33:19,i need you more (feat. Suyo),Sweet The Kid,184251
2024-10-09 14:36:23,daisy.,wave to earth,218500
2024-10-09 14:39:18,Tip Toe,HYBS,224725
2024-10-09 14:42:59,ANGOSTURA,keshi,171019
2024-10-09 14:45:49,blue salvia,PRYVT,197538
2024-10-09 14:49:09,next door (feat. ASTN),Amelia Moore,208313
2024-10-09 14:52:35,the cutest pair,Regina Song,158400
2024-10-09 14:55:14,Slowly,CLAUDIA,184054
2024-10-09 14:58:19,blue salvia,PRYVT,197538
2024-10-09 15:01:40,keep smiling,demxntia,132000
2024-10-09 15:03:53,美,KIRE,144000
2024-10-09 15:06:17,obsessed,thủy,185263
2024-10-09 15:09:22,ベテルギウス,Yuuri,230600
2024-10-09 15:13:14,if it's not you,PRYVT,226350
2024-10-09 15:17:00,take it slow,yedira,206048
2024-10-09 15:20:25,Out of the Blue,RINI,197580
2024-10-09 15:23:46,Top Tier,sunkis,172356
2024-10-09 15:26:35,i need you more (feat. Suyo),Sweet The Kid,184251
2024-10-09 15:29:20,trust me,sunkis,168936
2024-10-09 15:32:10,Strawberry Blossom,RINI,220534
2024-10-09 15:34:23,Don't Leave,Tom Frane,181800
2024-10-09 15:37:28,like you said you would,Roman Kayz,180533
2024-10-09 15:40:28,Senses,MICO,159887
2024-10-09 15:43:07,drivers license,Olivia Rodrigo,242013
2024-10-09 15:47:09,summer,raph,132483
2024-10-09 15:49:23,Miss You,AJ Mitchell,168770
2024-10-09 15:52:12,Glimpse of Us,Joji,233456
2024-10-09 15:56:08,Ghost Of You,5 Seconds of Summer,197411
2024-10-09 15:59:24,love me from a distance,Emily Vaughn,119205
2024-10-09 16:01:22,Two Truths And A Lie,ASTN,133440
2024-10-09 16:03:36,HOPELESS,raph,131402
2024-10-09 16:05:49,"tell me, will we survive?",PRYVT,194142
2024-10-09 16:09:05,castle in the sky,eaJ,176101
2024-10-09 16:11:59,do me right,brb.,178560
2024-10-09 16:14:59,"Angel Pt. 2 (feat. Jimin of BTS, Charlie Puth and Muni Long)",JVKE,176454
2024-10-09 16:17:59,Idontwannaknowyou!,MICO,160879
2024-10-09 16:20:38,You Were Beautiful,DAY6,283160
2024-10-09 16:25:21,Requiem,keshi,144526
2024-10-09 16:27:45,War,keshi,209031
2024-10-09 16:31:16,Dancing With Your Ghost,Sasha Alex Sloan,197732
2024-10-09 16:34:36,The One That Was Meant for Me,Johnny Huynh,192875
2024-10-09 16:37:47,How Soon,ASTN,190596
2024-10-09 16:41:02,Temporary Love,Keenan Te,163333
2024-10-09 16:43:42,Mean It,Lauv,232853
2024-10-09 16:47:38,Breathe (feat. Colbie Caillat) (Taylor’s Version),Taylor Swift,263377
2024-10-09 16:52:00,MUST BE NICE,Ruel,175920
2024-10-09 16:54:55,LET THE GRASS GROW,Ruel,175533
2024-10-09 16:57:55,Bodies,keshi,206237
2024-10-09 17:01:20,Without Me,Halsey,201660
2024-10-09 17:04:41,blue,keshi,180720
2024-10-09 17:07:41,fingers crossed,elijah woods,163090
2024-10-09 17:10:26,hero,starfall,184142
2024-10-09 17:13:31,Miracle,RINI,234840
2024-10-09 17:14:07,2 soon,keshi,206511
2024-10-09 17:17:33,Forgot About Us,Keenan Te,213674
2024-10-09 17:21:09,Dried Flowers(English ver.),Yuuri,285680
2024-10-09 17:25:57,mad,eaJ,177529
2024-10-09 17:28:51,Night,keshi,179906
2024-10-09 17:31:52,Oceans & Engines,NIKI,336000
2024-10-09 17:32:07,Little by Little,Tritonal,338360
2024-10-09 17:33:14,Salvation,Excision,249863
2024-10-09 17:37:20,Good Parts,Justin Caruso,182903
2024-10-09 17:40:25,Your Side Of The Bed,Loote,197146
2024-10-09 17:43:41,The Middle,Zedd,184732
2024-10-09 17:46:46,Remedy,William Black,220145
2024-10-09 17:50:28,Love Is Gone,SLANDER,256042
2024-10-09 17:54:45,Happy Now,Zedd,207029
2024-10-09 17:58:11,Good Things Fall Apart vs. Sad Songs (With Said The Sky feat. Annika Wells),ILLENIUM,366252
2024-10-09 18:04:22,I Wanna Know (feat. Bea Miller),NOTD,197938
2024-10-09 18:07:37,Remember - Maazel Remix,WE ARE FURY,174857
2024-10-09 18:10:32,Nightlight,ILLENIUM,222400
2024-10-09 18:14:18,AM:PM - YU-KA Version,NOTD,182950
2024-10-09 18:17:17,I'll Wait For You,Prince Woods,203360
2024-10-09 18:20:42,Lights (Covex and Last Heroes Remix),Dabin,235200
2024-10-09 18:24:38,Hope It Hurts,Dabin,258653
2024-10-09 18:29:01,Potions,SLANDER,215200
2024-10-09 18:35:23,Honest,NOTD,181516
2024-10-09 18:38:23,All You Need To Know (feat. Calle Lehmann),Gryffin,238337
2024-10-09 18:40:57,ZEZE (feat. Travis Scott & Offset),Kodak Black,228759
2024-10-09 18:44:44,3D (feat. Jack Harlow),Jung Kook,201812
2024-10-09 18:48:09,Ni**as In Paris,JAY-Z,219333
2024-10-09 18:51:45,redrum,21 Savage,270697
2024-10-09 18:56:18,hot girl bummer,blackbear,188343
2024-10-09 18:59:28,goosebumps,Travis Scott,243836
2024-10-09 19:03:30,MANIAC,Stray Kids,182757
2024-10-09 19:06:35,Rich Nigga Shit (feat. Young Thug),21 Savage,190331
2024-10-09 19:09:45,Standing Next to You,Jung Kook,206019
2024-10-09 19:13:11,Type Shit,Future,228266
2024-10-09 19:17:03,ball w/o you,21 Savage,195046
2024-10-09 19:20:18,GIRLS,The Kid LAROI,152979
2024-10-09 19:22:52,FE!N (feat. Playboi Carti),Travis Scott,191700
2024-10-09 19:25:12,Ric Flair Drip (with Metro Boomin),Offset,172800
2024-10-09 19:28:03,Pasadena,BABY GRAVY,157906
2024-10-09 19:30:42,Despicable G's,BABY GRAVY,162422
2024-10-09 19:33:21,Versace on the Floor,Bruno Mars,261240
2024-10-09 19:37:44,Mask Off,Future,204600
2024-10-09 19:41:10,God’s Menu,Stray Kids,167922
2024-10-09 19:44:00,"Bitch, Don’t Kill My Vibe",Kendrick Lamar,310720
2024-10-09 19:49:08,euphoria,Kendrick Lamar,383639
2024-10-09 19:55:33,I Like It,Stray Kids,148632
2024-10-09 19:58:02,KISS ME,DPR LIVE,278200
2024-10-09 20:02:39,Seven (feat. Latto) (Explicit Ver.),Jung Kook,183550
2024-10-09 20:05:44,SET YOURSELF ON FIRE,Ruel,171800
2024-10-09 20:08:38,Nightmare on Peachtree Street (feat. Freddie Dredd),BABY GRAVY,192989
2024-10-09 20:11:54,Backseat Freestyle,Kendrick Lamar,212653
2024-10-09 20:15:24,ROXANNE,Arizona Zervas,163636
2024-10-09 20:18:08,Like That,Future,267706
2024-10-09 20:22:36,Pure Water (with Migos),Mustard,192470
2024-10-09 20:25:52,Look At Me!,XXXTENTACION,126345
2024-10-09 20:27:55,I KNOW ?,Travis Scott,211582
2024-10-09 20:31:31,Space Cadet (feat. Gunna),Metro Boomin,203266
2024-10-09 20:34:51,LALALALA,Stray Kids,182224
2024-10-09 20:37:56,Super Smash Bros.,BABY GRAVY,153421
2024-10-09 20:40:30,COMFLEX,Stray Kids,172320
2024-10-09 20:43:20,Ice Attack,Future,199253
2024-10-09 20:46:40,CARNIVAL,¥$,264324
2024-10-09 20:51:08,a lot,21 Savage,288624
2024-10-09 20:55:56,Blueberry Faygo,Lil Mosey,162546
2024-10-09 20:58:41,Slide (feat. Frank Ocean & Migos),Calvin Harris,230813
2024-10-09 21:02:32,DNA.,Kendrick Lamar,185946
2024-10-09 21:05:37,20 Min,Lil Uzi Vert,220586
2024-10-09 21:09:18,Lose My Breath (Feat. Charlie Puth),Stray Kids,166913
2024-10-09 21:12:03,Cinderella,Future,169840
2024-10-09 21:14:58,No Way Jose,BABY GRAVY,169073
2024-10-09 21:17:47,10 Freaky Girls (with 21 Savage),Metro Boomin,208293
